,TrueNeg,FalseNeg,FalsePos,TruePos,Cutoff,sensitivity,specificity,FalsePosRate,PctCorrect,distance,,,
276,662,104,202,345,0.326239232,0.768374165,0.766203704,0.233796296,0.766945925,0.329106724,,,
617,656,101,208,348,0.315756364,0.775055679,0.759259259,0.240740741,0.764661081,0.329478454,,,sqrt( (1-sensitivity)²+(1-specificity)² 
519,669,108,195,341,0.329722897,0.759465479,0.774305556,0.225694444,0.769230769,0.329840625,,,
284,656,102,208,347,0.325115567,0.772828508,0.759259259,0.240740741,0.763899467,0.331003008,,,
229,644,95,220,354,0.294486666,0.788418708,0.74537037,0.25462963,0.760091394,0.331063274,,,
1312,669,109,195,340,0.333032736,0.757238307,0.774305556,0.225694444,0.768469155,0.331468282,,,
271,642,95,222,354,0.293424738,0.788418708,0.743055556,0.256944444,0.758568165,0.332846948,,,
544,652,101,212,348,0.311140466,0.775055679,0.75462963,0.24537037,0.761614623,0.332876202,,,
611,651,101,213,348,0.306217107,0.775055679,0.753472222,0.246527778,0.760853008,0.333730269,,,
511,641,95,223,354,0.293147275,0.788418708,0.741898148,0.258101852,0.75780655,0.333741231,,,
563,640,95,224,354,0.275778056,0.788418708,0.740740741,0.259259259,0.757044935,0.334637127,,,
586,624,85,240,364,0.256486461,0.810690423,0.722222222,0.277777778,0.752475248,0.336152658,,,
270,627,91,237,358,0.264610816,0.797327394,0.725694444,0.274305556,0.750190404,0.341056774,,,
120,625,91,239,358,0.263616365,0.797327394,0.72337963,0.27662037,0.748667174,0.342921295,,,
182,624,91,240,358,0.263184216,0.797327394,0.722222222,0.277777778,0.74790556,0.343855608,,,
565,613,84,251,365,0.240550207,0.812917595,0.709490741,0.290509259,0.744859101,0.345536476,,,
277,605,83,259,366,0.236748802,0.815144766,0.700231481,0.299768519,0.739527799,0.352182655,,,
268,599,79,265,370,0.235825484,0.824053452,0.693287037,0.306712963,0.73800457,0.353595856,,,
652,598,79,266,370,0.235434125,0.824053452,0.69212963,0.30787037,0.737242955,0.354600272,,,
492,777,153,87,296,0.348853107,0.659242762,0.899305556,0.100694444,0.81721249,0.355323608,,,
527,771,153,93,296,0.339008402,0.659242762,0.892361111,0.107638889,0.812642803,0.357353643,,,
280,777,154,87,295,0.358492539,0.65701559,0.899305556,0.100694444,0.816450876,0.357460035,,,
101,782,158,82,291,0.359670083,0.648106904,0.905092593,0.094907407,0.81721249,0.364466963,,,
267,788,159,76,290,0.393299184,0.645879733,0.912037037,0.087962963,0.821020564,0.364881688,,,
432,785,159,79,290,0.382536051,0.645879733,0.908564815,0.091435185,0.81873572,0.365734271,,,
197,783,159,81,290,0.369001753,0.645879733,0.90625,0.09375,0.81721249,0.366319841,,,
87,793,164,71,285,0.394520747,0.634743875,0.917824074,0.082175926,0.821020564,0.374386057,,,
534,793,166,71,283,0.402888626,0.630289532,0.917824074,0.082175926,0.819497334,0.378733036,,,
561,798,167,66,282,0.426434921,0.628062361,0.923611111,0.076388889,0.822543793,0.379701027,,,
599,797,167,67,282,0.423581213,0.628062361,0.922453704,0.077546296,0.821782178,0.379935568,,,
253,796,167,68,282,0.403210708,0.628062361,0.921296296,0.078703704,0.821020564,0.380173487,,,
286,798,168,66,281,0.429224129,0.625835189,0.923611111,0.076388889,0.821782178,0.381882924,,,
819,804,173,60,276,0.436116427,0.614699332,0.930555556,0.069444444,0.822543793,0.391508794,,,
582,557,75,307,374,0.225304072,0.832962138,0.644675926,0.355324074,0.709063214,0.392628125,,,
821,805,174,59,275,0.437923281,0.61247216,0.931712963,0.068287037,0.822543793,0.393498343,,,
678,556,75,308,374,0.220965828,0.832962138,0.643518519,0.356481481,0.708301599,0.393675874,,,
721,554,75,310,374,0.217157668,0.832962138,0.641203704,0.358796296,0.70677837,0.395773205,,,
720,552,75,312,374,0.21339716,0.832962138,0.638888889,0.361111111,0.705255141,0.397872947,,,
208,805,176,59,273,0.438125369,0.608017817,0.931712963,0.068287037,0.821020564,0.397885852,,,
121,805,177,59,272,0.439385328,0.605790646,0.931712963,0.068287037,0.820258949,0.40008016,,,
536,547,72,317,377,0.213002918,0.839643653,0.633101852,0.366898148,0.703731912,0.400410301,,,
767,809,178,55,271,0.465482335,0.603563474,0.936342593,0.063657407,0.822543793,0.401514862,,,
712,807,178,57,271,0.463655571,0.603563474,0.934027778,0.065972222,0.821020564,0.401888359,,,
826,805,178,59,271,0.45994814,0.603563474,0.931712963,0.068287037,0.819497334,0.402274829,,,
269,540,72,324,377,0.210978836,0.839643653,0.625,0.375,0.698400609,0.407846979,,,
515,812,184,52,265,0.465708764,0.590200445,0.939814815,0.060185185,0.820258949,0.414195523,,,
264,812,188,52,261,0.46591057,0.581291759,0.939814815,0.060185185,0.81721249,0.42301164,,,
594,524,70,340,379,0.21075608,0.844097996,0.606481481,0.393518519,0.687738005,0.423275631,,,
783,813,189,51,260,0.469195619,0.579064588,0.940972222,0.059027778,0.81721249,0.425053996,,,
807,816,192,48,257,0.471025041,0.572383073,0.944444444,0.055555556,0.81721249,0.431210686,,,
505,515,69,349,380,0.196908695,0.846325167,0.596064815,0.403935185,0.681645088,0.432180041,,,
818,819,195,45,254,0.474743269,0.565701559,0.947916667,0.052083333,0.81721249,0.437410344,,,
793,508,68,356,381,0.191834597,0.848552339,0.587962963,0.412037037,0.6770754,0.438988512,,,
307,507,68,357,381,0.18677605,0.848552339,0.586805556,0.413194444,0.676313785,0.440075043,,,
151,821,199,43,250,0.476215651,0.556792873,0.950231481,0.049768519,0.815689261,0.445992671,,,
557,500,68,364,381,0.183759296,0.848552339,0.578703704,0.421296296,0.670982483,0.447690701,,,
828,822,200,42,249,0.476574902,0.554565702,0.951388889,0.048611111,0.815689261,0.44807896,,,
510,499,68,365,381,0.170260695,0.848552339,0.577546296,0.422453704,0.670220868,0.448780042,,,
232,826,204,38,245,0.477226189,0.545657016,0.956018519,0.043981481,0.815689261,0.456466777,,,
830,826,205,38,244,0.482130553,0.543429844,0.956018519,0.043981481,0.814927647,0.458683636,,,
243,831,208,33,241,0.502969515,0.53674833,0.961805556,0.038194444,0.816450876,0.464823543,,,
288,477,57,387,392,0.165766813,0.873051225,0.552083333,0.447916667,0.661843107,0.46555916,,,
702,476,57,388,392,0.161418886,0.873051225,0.550925926,0.449074074,0.661081493,0.466672814,,,
816,833,209,31,240,0.547514234,0.534521158,0.96412037,0.03587963,0.81721249,0.466859615,,,
230,832,209,32,240,0.514318453,0.534521158,0.962962963,0.037037037,0.816450876,0.466949991,,,
219,831,209,33,240,0.512028163,0.534521158,0.961805556,0.038194444,0.815689261,0.467043218,,,
