"","TrueNeg","FalseNeg","FalsePos","TruePos","Cutoff","sensitivity","specificity","FalsePosRate","PctCorrect"
"",864,449,0,0,Inf,0,1,0,0.658035034272658
"221",864,446,0,3,0.994010457339984,0.0066815144766147,1,0,0.66031987814166
"223",864,445,0,4,0.993058590935236,0.0089086859688196,1,0,0.661081492764661
"213",864,444,0,5,0.991956676665321,0.0111358574610245,1,0,0.661843107387662
"170",864,442,0,7,0.990728596876724,0.0155902004454343,1,0,0.663366336633663
"220",864,438,0,11,0.990681480390077,0.0244988864142539,1,0,0.666412795125666
"231",864,437,0,12,0.989303758909642,0.0267260579064588,1,0,0.667174409748667
"168",864,435,0,14,0.989260807527304,0.0311804008908686,1,0,0.668697638994669
"43",864,434,0,15,0.989206313124818,0.0334075723830735,1,0,0.669459253617669
"228",864,432,0,17,0.987563564050552,0.0378619153674833,1,0,0.670982482863671
"250",864,431,0,18,0.985659361494909,0.0400890868596882,1,0,0.671744097486672
"209",864,430,0,19,0.985601988804186,0.0423162583518931,1,0,0.672505712109672
"203",864,426,0,23,0.985003113425899,0.0512249443207127,1,0,0.675552170601676
"252",864,425,0,24,0.983402487799446,0.0534521158129176,1,0,0.676313785224676
"143",864,423,0,26,0.983336238666332,0.0579064587973274,1,0,0.677837014470678
"299",864,421,0,28,0.983252189898934,0.0623608017817372,1,0,0.679360243716679
"195",864,413,0,36,0.982644780458063,0.0801781737193764,1,0,0.685453160700685
"254",863,412,1,37,0.980720912033133,0.0824053452115813,0.998842592592593,0.00115740740740744,0.685453160700685
"2",862,412,2,37,0.980023563388611,0.0824053452115813,0.997685185185185,0.00231481481481477,0.684691546077685
"289",861,406,3,43,0.979923147270682,0.0957683741648107,0.996527777777778,0.00347222222222221,0.688499619192689
"283",861,401,3,48,0.976900535711872,0.106904231625835,0.996527777777778,0.00347222222222221,0.692307692307692
"281",860,391,4,58,0.976784792857802,0.129175946547884,0.99537037037037,0.00462962962962965,0.699162223914699
"240",859,382,5,67,0.973302568170338,0.149220489977728,0.994212962962963,0.00578703703703709,0.705255140898705
"274",859,374,5,75,0.9731692923782,0.167037861915367,0.994212962962963,0.00578703703703709,0.711348057882711
"279",859,365,5,84,0.969161872897755,0.187082405345212,0.994212962962963,0.00578703703703709,0.718202589489718
"68",859,364,5,85,0.969008584597609,0.189309576837416,0.994212962962963,0.00578703703703709,0.718964204112719
"183",859,362,5,87,0.968941625604937,0.193763919821826,0.994212962962963,0.00578703703703709,0.72048743335872
"278",859,358,5,91,0.964402455810725,0.202672605790646,0.994212962962963,0.00578703703703709,0.723533891850724
"136",859,352,5,97,0.95893961229078,0.216035634743875,0.994212962962963,0.00578703703703709,0.728103579588728
"266",859,343,5,106,0.958737675137614,0.236080178173719,0.994212962962963,0.00578703703703709,0.734958111195735
"74",859,342,5,107,0.952679568648399,0.238307349665924,0.994212962962963,0.00578703703703709,0.735719725818736
"434",859,340,5,109,0.944678757627338,0.242761692650334,0.994212962962963,0.00578703703703709,0.737242955064737
"341",859,339,5,110,0.94004501164252,0.244988864142539,0.994212962962963,0.00578703703703709,0.738004569687738
"261",859,330,5,119,0.937346935170977,0.265033407572383,0.994212962962963,0.00578703703703709,0.744859101294745
"569",859,329,5,120,0.93504982494203,0.267260579064588,0.994212962962963,0.00578703703703709,0.745620715917746
"397",859,326,5,123,0.929669597891512,0.273942093541203,0.994212962962963,0.00578703703703709,0.747905559786748
"302",859,323,5,126,0.927456758936002,0.280623608017817,0.994212962962963,0.00578703703703709,0.75019040365575
"433",859,322,5,127,0.923879974649219,0.282850779510022,0.994212962962963,0.00578703703703709,0.750952018278751
"480",859,320,5,129,0.913012429307274,0.287305122494432,0.994212962962963,0.00578703703703709,0.752475247524752
"512",859,319,5,130,0.905990242610894,0.289532293986637,0.994212962962963,0.00578703703703709,0.753236862147753
"309",859,318,5,131,0.905555423793995,0.291759465478842,0.994212962962963,0.00578703703703709,0.753998476770754
"478",859,314,5,135,0.898464222600887,0.300668151447661,0.994212962962963,0.00578703703703709,0.757044935262757
"293",859,313,5,136,0.891681842446926,0.302895322939866,0.994212962962963,0.00578703703703709,0.757806549885758
"585",859,308,5,141,0.871104223092134,0.314031180400891,0.994212962962963,0.00578703703703709,0.761614623000762
"579",858,297,6,152,0.861213204518487,0.338530066815145,0.993055555555556,0.00694444444444442,0.769230769230769
"600",852,279,12,170,0.850693275800576,0.378619153674833,0.986111111111111,0.0138888888888888,0.778370144706778
"558",852,278,12,171,0.849758086252392,0.380846325167038,0.986111111111111,0.0138888888888888,0.779131759329779
"491",852,274,12,175,0.841328998794965,0.389755011135857,0.986111111111111,0.0138888888888888,0.782178217821782
"590",851,259,13,190,0.839524530007732,0.423162583518931,0.984953703703704,0.0150462962962963,0.792840822543793
"322",848,252,16,197,0.834978867612341,0.438752783964365,0.981481481481482,0.0185185185185185,0.795887281035796
"566",847,243,17,206,0.827689543321663,0.458797327394209,0.980324074074074,0.0196759259259259,0.801980198019802
"488",846,242,18,207,0.815173889482622,0.461024498886414,0.979166666666667,0.0208333333333334,0.801980198019802
"598",843,230,21,219,0.773454866719135,0.487750556792873,0.975694444444444,0.0243055555555556,0.808834729626809
"468",843,229,21,220,0.77216545955413,0.489977728285078,0.975694444444444,0.0243055555555556,0.80959634424981
"320",842,223,22,226,0.765146626297127,0.503340757238307,0.974537037037037,0.0254629629629629,0.813404417364813
"616",842,222,22,227,0.69702298556093,0.505567928730512,0.974537037037037,0.0254629629629629,0.814166031987814
"222",842,221,22,228,0.687908815808441,0.507795100222717,0.974537037037037,0.0254629629629629,0.814927646610815
"405",842,220,22,229,0.686330104815024,0.510022271714922,0.974537037037037,0.0254629629629629,0.815689261233816
"44",842,219,22,230,0.620922430186305,0.512249443207127,0.974537037037037,0.0254629629629629,0.816450875856816
"681",841,218,23,231,0.591149293169812,0.514476614699332,0.97337962962963,0.0266203703703703,0.816450875856816
"196",840,218,24,231,0.587632075071145,0.514476614699332,0.972222222222222,0.0277777777777778,0.815689261233816
"667",839,216,25,233,0.585758325054874,0.518930957683742,0.971064814814815,0.0289351851851852,0.816450875856816
"127",836,215,28,234,0.58540882080434,0.521158129175947,0.967592592592593,0.0324074074074074,0.814927646610815
"666",835,214,29,235,0.569466627539858,0.523385300668151,0.966435185185185,0.0335648148148148,0.814927646610815
"25",835,213,29,236,0.550251357035468,0.525612472160356,0.966435185185185,0.0335648148148148,0.815689261233816
"816",833,209,31,240,0.547514234140329,0.534521158129176,0.96412037037037,0.0358796296296297,0.817212490479817
"230",832,209,32,240,0.514318452562752,0.534521158129176,0.962962962962963,0.0370370370370371,0.816450875856816
"219",831,209,33,240,0.512028162717371,0.534521158129176,0.961805555555556,0.0381944444444444,0.815689261233816
"243",831,208,33,241,0.502969514819978,0.536748329621381,0.961805555555556,0.0381944444444444,0.816450875856816
"830",826,205,38,244,0.48213055330935,0.543429844097996,0.956018518518518,0.0439814814814815,0.814927646610815
"232",826,204,38,245,0.477226189083738,0.5456570155902,0.956018518518518,0.0439814814814815,0.815689261233816
"828",822,200,42,249,0.476574901786866,0.55456570155902,0.951388888888889,0.0486111111111112,0.815689261233816
"151",821,199,43,250,0.476215651090568,0.556792873051225,0.950231481481482,0.0497685185185185,0.815689261233816
"818",819,195,45,254,0.474743269329671,0.565701559020045,0.947916666666667,0.0520833333333334,0.817212490479817
"807",816,192,48,257,0.47102504112061,0.572383073496659,0.944444444444444,0.0555555555555556,0.817212490479817
"783",813,189,51,260,0.469195618550774,0.579064587973274,0.940972222222222,0.0590277777777778,0.817212490479817
"264",812,188,52,261,0.465910569652765,0.581291759465479,0.939814814814815,0.0601851851851852,0.817212490479817
"515",812,184,52,265,0.465708763537283,0.590200445434298,0.939814814814815,0.0601851851851852,0.82025894897182
"767",809,178,55,271,0.465482334927409,0.603563474387528,0.936342592592593,0.0636574074074074,0.822543792840823
"712",807,178,57,271,0.463655570626349,0.603563474387528,0.934027777777778,0.0659722222222222,0.821020563594821
"826",805,178,59,271,0.459948139770993,0.603563474387528,0.931712962962963,0.0682870370370371,0.81949733434882
"121",805,177,59,272,0.439385327757083,0.605790645879733,0.931712962962963,0.0682870370370371,0.82025894897182
"208",805,176,59,273,0.438125369228154,0.608017817371938,0.931712962962963,0.0682870370370371,0.821020563594821
"821",805,174,59,275,0.437923280544488,0.612472160356347,0.931712962962963,0.0682870370370371,0.822543792840823
"819",804,173,60,276,0.436116426741526,0.614699331848552,0.930555555555556,0.0694444444444444,0.822543792840823
"286",798,168,66,281,0.429224129241735,0.625835189309577,0.923611111111111,0.0763888888888888,0.821782178217822
"561",798,167,66,282,0.426434921212442,0.628062360801782,0.923611111111111,0.0763888888888888,0.822543792840823
"599",797,167,67,282,0.423581212559302,0.628062360801782,0.922453703703704,0.0775462962962963,0.821782178217822
"253",796,167,68,282,0.403210707555666,0.628062360801782,0.921296296296296,0.0787037037037037,0.821020563594821
"534",793,166,71,283,0.402888625876477,0.630289532293987,0.917824074074074,0.0821759259259259,0.81949733434882
"87",793,164,71,285,0.39452074656301,0.634743875278396,0.917824074074074,0.0821759259259259,0.821020563594821
"267",788,159,76,290,0.393299184035877,0.645879732739421,0.912037037037037,0.0879629629629629,0.821020563594821
"432",785,159,79,290,0.382536050916223,0.645879732739421,0.908564814814815,0.0914351851851852,0.818735719725819
"197",783,159,81,290,0.36900175265218,0.645879732739421,0.90625,0.09375,0.817212490479817
"101",782,158,82,291,0.359670083432631,0.648106904231626,0.905092592592593,0.0949074074074074,0.817212490479817
"280",777,154,87,295,0.35849253899892,0.657015590200445,0.899305555555556,0.100694444444444,0.816450875856816
"492",777,153,87,296,0.348853106571071,0.65924276169265,0.899305555555556,0.100694444444444,0.817212490479817
"527",771,153,93,296,0.339008402350074,0.65924276169265,0.892361111111111,0.107638888888889,0.812642802741813
"1312",669,109,195,340,0.333032735768237,0.757238307349666,0.774305555555556,0.225694444444444,0.768469154607768
"519",669,108,195,341,0.329722896958115,0.759465478841871,0.774305555555556,0.225694444444444,0.769230769230769
"276",662,104,202,345,0.326239231648657,0.76837416481069,0.766203703703704,0.233796296296296,0.766945925361767
"284",656,102,208,347,0.325115566598453,0.7728285077951,0.759259259259259,0.240740740740741,0.763899466869764
"617",656,101,208,348,0.315756363768108,0.775055679287305,0.759259259259259,0.240740740740741,0.764661081492765
"544",652,101,212,348,0.311140465888502,0.775055679287305,0.75462962962963,0.24537037037037,0.761614623000762
"611",651,101,213,348,0.306217107319397,0.775055679287305,0.753472222222222,0.246527777777778,0.760853008377761
"229",644,95,220,354,0.294486666282527,0.788418708240535,0.74537037037037,0.25462962962963,0.76009139375476
"271",642,95,222,354,0.293424737626,0.788418708240535,0.743055555555556,0.256944444444444,0.758568164508759
"511",641,95,223,354,0.293147275133925,0.788418708240535,0.741898148148148,0.258101851851852,0.757806549885758
"563",640,95,224,354,0.275778056117274,0.788418708240535,0.740740740740741,0.259259259259259,0.757044935262757
"270",627,91,237,358,0.264610815539483,0.797327394209354,0.725694444444444,0.274305555555556,0.75019040365575
"120",625,91,239,358,0.2636163654392,0.797327394209354,0.72337962962963,0.27662037037037,0.748667174409749
"182",624,91,240,358,0.263184216098537,0.797327394209354,0.722222222222222,0.277777777777778,0.747905559786748
"586",624,85,240,364,0.256486461491289,0.810690423162584,0.722222222222222,0.277777777777778,0.752475247524752
